nsecode,per_chg,close,date,igroup_name
BOSCHLTD,-3.06,34073.3,2024-07-20,Auto Ancillaries
DIXON,-5.68,11267.2,2024-07-20,Consumer Durables
BAJAJ-AUTO,-2.49,9386.05,2024-07-20,Automobile
ABB,-3.45,7620.5,2024-07-20,Capital Goods - Electrical Equipment
SIEMENS,-3.81,6850.2,2024-07-20,Capital Goods - Electrical Equipment
POLYCAB,-3.09,6349.85,2024-07-20,Cables
HEROMOTOCO,-1.35,5427.7,2024-07-20,Automobile
TRENT,-2.68,5166.35,2024-07-20,Retail
HAL,-4.3,4800.25,2024-07-20,Aerospace & Defence
DIVISLAB,-1.42,4519.8,2024-07-20,Pharmaceuticals
CUMMINSIND,-6.25,3559.45,2024-07-20,Capital Goods-Non Electrical Equipment
ADANIENT,-2.8,3005.7,2024-07-20,Trading
METROPOLIS,-2.61,1977.95,2024-07-20,Healthcare
HAVELLS,-5.05,1768.5,2024-07-20,Consumer Durables
OBEROIRLTY,-2.75,1671.3,2024-07-20,Realty
BHARATFORG,-2.6,1579.4,2024-07-20,"Castings, Forgings & Fastners"
ADANIPORTS,-1.65,1469.3,2024-07-20,Marine Port & Services
TATACHEM,-1.54,1044.2,2024-07-20,Chemicals
CONCOR,-2.77,1010.95,2024-07-20,Logistics
JINDALSTEL,-4.4,946.35,2024-07-20,Steel
JSWSTEEL,-4.51,889.45,2024-07-20,Steel
DLF,-3.37,816.4,2024-07-20,Realty
RAMCOCEM,-0.65,777.8,2024-07-20,Cement
GNFC,-2.27,664.15,2024-07-20,Chemicals
HINDALCO,-3.91,663.0,2024-07-20,Non Ferrous Metals
INDHOTEL,-0.76,577.9,2024-07-20,Hotels & Restaurants
EXIDEIND,-2.74,540.5,2024-07-20,Auto Ancillaries
CHAMBLFERT,-4.09,490.7,2024-07-20,Fertilizers
VEDL,-2.57,439.8,2024-07-20,Mining & Mineral products
TATAPOWER,-3.67,414.15,2024-07-20,Power Generation & Distribution
NTPC,-3.47,364.65,2024-07-20,Power Generation & Distribution
HINDCOPPER,-3.87,307.8,2024-07-20,Non Ferrous Metals
RBLBANK,-0.93,240.35,2024-07-20,Banks
NMDC,-5.43,228.76,2024-07-20,Mining & Mineral products
ASHOKLEY,-1.92,223.95,2024-07-20,Automobile
ABCAPITAL,-3.18,215.64,2024-07-20,Finance
IOC,-2.43,165.49,2024-07-20,Refineries
TATASTEEL,-5.16,157.77,2024-07-20,Steel
SAIL,-4.1,141.82,2024-07-20,Steel
PNB,-1.96,116.51,2024-07-20,Banks
IDFC,-2.0,113.44,2024-07-20,Finance
IDFCFIRSTB,-2.21,76.02,2024-07-20,Banks
IDEA,-2.46,15.87,2024-07-20,Telecomm-Service
