"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"1","JUBLFOOD","Jubilant Foodworks Limited",533155,"5.53","632","5083430","2024-08-12","10:56:08","Quick Service Restaurant","2024-08-12 10:56:08.988894+05:30"
"2","WELCORP","Welspun Corp Limited",532144,"5.3","692.65","2001042","2024-08-12","11:11:24","Steel","2024-08-12 11:11:24.159153+05:30"
"3","GLS","Glenmark Life Sciences Ltd",543322,"7.41","982.35","268710","2024-08-12","12:26:29","Pharmaceuticals","2024-08-12 12:26:29.706718+05:30"
"4","INOXWIND","Inox Wind Limited",539083,"13.25","197.31","36038217","2024-08-12","12:26:29","Capital Goods - Electrical Equipment","2024-08-12 12:26:29.706718+05:30"
"5","NATCOPHARM","Natco Pharma Limited",524816,"3.54","1491.35","3783975","2024-08-12","14:46:38","Pharmaceuticals","2024-08-12 14:46:38.279787+05:30"
"6","NATCOPHARM","Natco Pharma Limited",524816,"1.65","1519.2","27625","2024-08-13","09:17:41","Pharmaceuticals","2024-08-13 09:17:41.785243+05:30"
"7","GLS","Glenmark Life Sciences Ltd",543322,"-0.06","998","2733","2024-08-13","09:17:41","Pharmaceuticals","2024-08-13 09:17:41.785243+05:30"
"8","WELCORP","Welspun Corp Limited",532144,"0.02","696.95","10503","2024-08-13","09:17:41","Steel","2024-08-13 09:17:41.785243+05:30"
"9","JUBLFOOD","Jubilant Foodworks Limited",533155,"-0.05","651","21086","2024-08-13","09:17:41","Quick Service Restaurant","2024-08-13 09:17:41.785243+05:30"
"10","INOXWIND","Inox Wind Limited",539083,"4.48","217.89","704970","2024-08-13","09:17:41","Capital Goods - Electrical Equipment","2024-08-13 09:17:41.785243+05:30"
"11","RTNINDIA","RattanIndia Enterprises Ltd",534597,"10.96","89.48","826059","2024-08-13","09:17:41","Miscellaneous","2024-08-13 09:17:41.785243+05:30"
"12","JYOTHYLAB","Jyothy Laboratories Limited",532926,"4.29","585.1","275856","2024-08-13","09:23:39","FMCG","2024-08-13 09:23:39.179326+05:30"
"13","LALPATHLAB","Dr. Lal Path Labs Ltd.",539524,"1.23","3266.7","34847","2024-08-13","10:10:15","Healthcare","2024-08-13 10:10:15.767055+05:30"
"14","BALRAMCHIN","Balrampur Chini Mills Limited",500038,"4.12","515.55","3023799","2024-08-13","10:26:40","Sugar","2024-08-13 10:26:40.994115+05:30"
"15","TRITURBINE","Triveni Turbine Limited",533655,"6.84","748.6","1794450","2024-08-13","10:43:22","Capital Goods - Electrical Equipment","2024-08-13 10:43:22.791275+05:30"
"16","AJANTPHARM","Ajanta Pharma Limited",532331,"3.78","3183.3","144508","2024-08-13","11:59:22","Pharmaceuticals","2024-08-13 11:59:22.489298+05:30"
"17","LALPATHLAB","Dr. Lal Path Labs Ltd.",539524,"0","3256.6","107","2024-08-14","09:17:45","Healthcare","2024-08-14 09:17:46.050481+05:30"
"18","AJANTPHARM","Ajanta Pharma Limited",532331,"0","3175.35","795","2024-08-14","09:17:45","Pharmaceuticals","2024-08-14 09:17:46.050481+05:30"
"19","NATCOPHARM","Natco Pharma Limited",524816,"1.69","1500.05","9564","2024-08-14","09:17:45","Pharmaceuticals","2024-08-14 09:17:46.050481+05:30"
"20","GLS","Glenmark Life Sciences Ltd",543322,"-0.54","979.75","678","2024-08-14","09:17:45","Pharmaceuticals","2024-08-14 09:17:46.050481+05:30"
"21","TRITURBINE","Triveni Turbine Limited",533655,"0.5","791","29963","2024-08-14","09:17:45","Capital Goods - Electrical Equipment","2024-08-14 09:17:46.050481+05:30"
"22","CENTURYPLY","Century Plyboards (india) Limited",532548,"0.94","737","389","2024-08-14","09:17:45","Plywood Boards/Laminates","2024-08-14 09:17:46.050481+05:30"
"23","WELCORP","Welspun Corp Limited",532144,"0.38","675","3550","2024-08-14","09:17:45","Steel","2024-08-14 09:17:46.050481+05:30"
"24","JUBLFOOD","Jubilant Foodworks Limited",533155,"0.75","649","4482","2024-08-14","09:17:45","Quick Service Restaurant","2024-08-14 09:17:46.050481+05:30"
"25","JYOTHYLAB","Jyothy Laboratories Limited",532926,"1.44","556","3086","2024-08-14","09:17:45","FMCG","2024-08-14 09:17:46.050481+05:30"
"26","BALRAMCHIN","Balrampur Chini Mills Limited",500038,"0.68","514.9","7991","2024-08-14","09:17:45","Sugar","2024-08-14 09:17:46.050481+05:30"
"27","INOXWIND","Inox Wind Limited",539083,"3.81","224","230420","2024-08-14","09:17:45","Capital Goods - Electrical Equipment","2024-08-14 09:17:46.050481+05:30"
"28","OIL","Oil India Limited",533106,"2.58","705.05","687479","2024-08-14","09:23:42","Crude Oil & Natural Gas","2024-08-14 09:23:42.317749+05:30"
"29","POLICYBZR","PB Fintech Ltd",543390,"11.41","1651.85","3211803","2024-08-14","10:14:20","IT - Software","2024-08-14 10:14:20.292797+05:30"
"30","KAYNES","Kaynes Technology India Ltd",535493,"1.96","4794","413848","2024-08-14","12:36:16","Consumer Durables","2024-08-14 12:36:16.504707+05:30"
"31","SUMICHEM","Sumitomo Chemical India Ltd",542920,"2.29","538.65","339525","2024-08-14","12:39:30","Agro Chemicals","2024-08-14 12:39:30.878583+05:30"
