"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"1","ABB","Abb India Limited",500002,"-2.94","8209.25","406193","2024-07-12","20:06:20","Capital Goods - Electrical Equipment","2024-07-12 20:06:20.587991+05:30"
"2","SIEMENS","Siemens Limited",500550,"-2.09","7613.55","426289","2024-07-12","20:06:20","Capital Goods - Electrical Equipment","2024-07-12 20:06:20.587991+05:30"
"3","DIVISLAB","Divi's Laboratories Limited",532488,"-0.94","4539.3","661038","2024-07-12","20:06:20","Pharmaceuticals","2024-07-12 20:06:20.587991+05:30"
"4","CUMMINSIND","Cummins India Limited",500480,"-1.06","3954.05","669534","2024-07-12","20:06:20","Capital Goods-Non Electrical Equipment","2024-07-12 20:06:20.587991+05:30"
"5","ESCORTS","Escorts Limited",500495,"-1.82","3915.6","160794","2024-07-12","20:06:20","Automobile","2024-07-12 20:06:20.587991+05:30"
"6","BALKRISIND","Balkrishna Industries Limited",502355,"-0.86","3122.9","196245","2024-07-12","20:06:20","Tyres","2024-07-12 20:06:20.587991+05:30"
"7","ADANIENT","Adani Enterprises Limited",512599,"-0.42","3065.45","756036","2024-07-12","20:06:20","Trading","2024-07-12 20:06:20.587991+05:30"
"8","OBEROIRLTY","Oberoi Realty Limited",533273,"-0.81","1697.7","682134","2024-07-12","20:06:20","Realty","2024-07-12 20:06:20.587991+05:30"
"9","BHARATFORG","Bharat Forge Limited",500493,"-1.33","1618.95","1108682","2024-07-12","20:06:20","Castings, Forgings & Fastners","2024-07-12 20:06:20.587991+05:30"
"10","HINDALCO","Hindalco Industries Limited",500440,"-0.61","692.05","3839953","2024-07-12","20:06:20","Non Ferrous Metals","2024-07-12 20:06:20.587991+05:30"
"11","INDHOTEL","The Indian Hotels Company Limited",500850,"-1.44","594.05","1747038","2024-07-12","20:06:20","Hotels & Restaurants","2024-07-12 20:06:20.587991+05:30"
"12","EXIDEIND","Exide Industries Limited",500086,"-0.78","559.05","1898237","2024-07-12","20:06:20","Auto Ancillaries","2024-07-12 20:06:20.587991+05:30"
"13","TATAPOWER","Tata Power Company Limited",500400,"-1.44","434.05","6826289","2024-07-12","20:06:20","Power Generation & Distribution","2024-07-12 20:06:20.587991+05:30"
"14","BANKBARODA","Bank Of Baroda",532134,"-2.38","250.6","19538619","2024-07-12","20:06:20","Banks","2024-07-12 20:06:20.587991+05:30"
"15","ASHOKLEY","Ashok Leyland Limited",500477,"-1.18","224.26","9394331","2024-07-12","20:06:20","Automobile","2024-07-12 20:06:20.587991+05:30"
"16","PNB","Punjab National Bank",532461,"-1.39","117.74","26896471","2024-07-12","20:06:20","Banks","2024-07-12 20:06:20.587991+05:30"
"17","CANBK","Canara Bank",532483,"-1.25","112.72","22397084","2024-07-12","20:06:20","Banks","2024-07-12 20:06:20.587991+05:30"
"18","IDEA","Idea Cellular Limited",532822,"-2.84","16.09","630743126","2024-07-12","20:06:20","Telecomm-Service","2024-07-12 20:06:20.587991+05:30"
"19","BAJAJ-AUTO","Bajaj Auto Limited",532977,"-0.18","9414.05","4830","2024-07-15","09:22:10","Automobile","2024-07-15 09:22:10.86134+05:30"
"20","ABB","Abb India Limited",500002,"-0.01","8208.65","8017","2024-07-15","09:22:10","Capital Goods - Electrical Equipment","2024-07-15 09:22:10.86134+05:30"
"21","HEROMOTOCO","Hero Motocorp Limited",500182,"-0.2","5535.9","4263","2024-07-15","09:22:10","Automobile","2024-07-15 09:22:10.86134+05:30"
"22","BHARTIARTL","Bharti Airtel Limited",532454,"-0.36","1428.05","93217","2024-07-15","09:22:10","Telecomm-Service","2024-07-15 09:22:10.86134+05:30"
"23","HINDALCO","Hindalco Industries Limited",500440,"-0.35","689.65","72121","2024-07-15","09:22:10","Non Ferrous Metals","2024-07-15 09:22:10.86134+05:30"
"24","GNFC","Gujarat Narmada Valley Fertilizers And Chemicals Limited",500670,"-0.24","684.3","32405","2024-07-15","09:22:10","Chemicals","2024-07-15 09:22:10.86134+05:30"
"25","INDHOTEL","The Indian Hotels Company Limited",500850,"-1.06","587.75","88139","2024-07-15","09:22:10","Hotels & Restaurants","2024-07-15 09:22:10.86134+05:30"
"26","CHAMBLFERT","Chambal Fertilizers & Chemicals Limited",500085,"-0.45","502.7","119060","2024-07-15","09:22:10","Fertilizers","2024-07-15 09:22:10.86134+05:30"
"27","VEDL","Vedanta Limited",500295,"-0.46","447.65","315349","2024-07-15","09:22:10","Mining & Mineral products","2024-07-15 09:22:10.86134+05:30"
"28","TATAPOWER","Tata Power Company Limited",500400,"-0.18","433.25","249287","2024-07-15","09:22:10","Power Generation & Distribution","2024-07-15 09:22:10.86134+05:30"
"29","NMDC","Nmdc Limited",526371,"-0.62","244.73","146564","2024-07-15","09:22:10","Mining & Mineral products","2024-07-15 09:22:10.86134+05:30"
