"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"1","WENDT","Wendt (india) Limited",505412,"1.47","16673.95","273","2024-07-12","09:56:27","Capital Goods-Non Electrical Equipment","2024-07-12 09:56:27.292016+05:30"
"2","SOLARINDS","Solar Industries India Limited",532725,"0.18","12274.9","16099","2024-07-12","09:56:27","Aerospace & Defence","2024-07-12 09:56:27.292016+05:30"
"3","BRITANNIA","Britannia Industries Limited",500825,"-0.42","5737.35","31526","2024-07-12","09:56:27","FMCG","2024-07-12 09:56:27.292016+05:30"
"4","EICHERMOT","Eicher Motors Limited",505200,"0.35","4845.45","27416","2024-07-12","09:56:27","Automobile","2024-07-12 09:56:27.292016+05:30"
"5","AIAENG","Aia Engineering Limited",532683,"1.27","4331.45","3450","2024-07-12","09:56:27","Castings, Forgings & Fastners","2024-07-12 09:56:27.292016+05:30"
"6","CAMS","Computer Age Management Services Ltd",543232,"0.76","4146.8","87750","2024-07-12","09:56:27","Financial Services","2024-07-12 09:56:27.292016+05:30"
"7","PIDILITIND","Pidilite Industries Limited",500331,"-0.28","3152.6","18117","2024-07-12","09:56:27","Chemicals","2024-07-12 09:56:27.292016+05:30"
"8","COLPAL","Colgate Palmolive (india) Limited",500830,"0.89","3033.5","40463","2024-07-12","09:56:27","FMCG","2024-07-12 09:56:27.292016+05:30"
"9","MPHASIS","Mphasis Limited",526299,"3.74","2656","661005","2024-07-12","09:56:27","IT - Software","2024-07-12 09:56:27.292016+05:30"
"10","CDSL","Central Depository Services Ltd",0,"0.83","2462.75","580023","2024-07-12","09:56:27","Miscellaneous","2024-07-12 09:56:27.292016+05:30"
"11","TEGA","Tega Industries Ltd",543413,"1.3","1818.65","8656","2024-07-12","09:56:27","Engineering","2024-07-12 09:56:27.292016+05:30"
"12","AURIONPRO","Aurionpro Solutions Limited",532668,"-5","1653.35","11985","2024-07-12","09:56:27","IT - Software","2024-07-12 09:56:27.292016+05:30"
"13","CAPLIPOINT","Caplin Point Laboratories Limited",524742,"0.34","1522.2","20829","2024-07-12","09:56:27","Pharmaceuticals","2024-07-12 09:56:27.292016+05:30"
"14","METROBRAND","Metro Brands Ltd",543426,"-0.23","1318.3","13399","2024-07-12","09:56:27","Leather","2024-07-12 09:56:27.292016+05:30"
"15","GPIL","Godawari Power And Ispat Limited",532734,"-0.13","1141.6","22668","2024-07-12","09:56:27","Steel","2024-07-12 09:56:27.292016+05:30"
"16","UTIAMC","UTI Asset Management Company Ltd",543238,"0.04","1049.35","35612","2024-07-12","09:56:27","Finance","2024-07-12 09:56:27.292016+05:30"
"17","SONACOMS","Sona BLW Precision Forgings Ltd",543300,"1.68","732","585626","2024-07-12","09:56:27","Auto Ancillaries","2024-07-12 09:56:27.292016+05:30"
"18","SHANTIGEAR","Shanthi Gears Limited",522034,"1.08","692.45","37862","2024-07-12","09:56:27","Capital Goods-Non Electrical Equipment","2024-07-12 09:56:27.292016+05:30"
"19","MARICO","Marico Limited",531642,"-0.6","640.9","182532","2024-07-12","09:56:27","Edible Oil","2024-07-12 09:56:27.292016+05:30"
"20","DABUR","Dabur India Limited",500096,"0.14","630.2","153131","2024-07-12","09:56:27","FMCG","2024-07-12 09:56:27.292016+05:30"
"21","CMSINFO","CMS Info Systems Ltd",543441,"0.44","529.6","85194","2024-07-12","09:56:27","Miscellaneous","2024-07-12 09:56:27.292016+05:30"
"22","LIKHITHA","Likhitha Infrastructure Ltd",543240,"1.48","476.5","234948","2024-07-12","09:56:27","Infrastructure Developers & Operators","2024-07-12 09:56:27.292016+05:30"
