"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"1","LAXMIMACH","Lakshmi Machine Works Limited",500252,"0.51","16185.4","257","2024-07-12","09:56:28","Engineering","2024-07-12 09:56:28.177845+05:30"
"2","BHARATRAS","Bharat Rasayan Limited",590021,"0.73","10998.45","515","2024-07-12","09:56:28","Agro Chemicals","2024-07-12 09:56:28.177845+05:30"
"3","TASTYBITE","Tasty Bite Eatables Ltd",519091,"0.7","10266","186","2024-07-12","09:56:28","FMCG","2024-07-12 09:56:28.177845+05:30"
"4","FORCEMOT","Force Motors Ltd",500033,"0.13","8525.5","959","2024-07-12","09:56:28","Automobile","2024-07-12 09:56:28.177845+05:30"
"5","DYNAMATECH","Dynamatic Technologies Limited",505242,"1.44","7087.5","521","2024-07-12","09:56:28","Capital Goods-Non Electrical Equipment","2024-07-12 09:56:28.177845+05:30"
"6","TATAELXSI","Tata Elxsi Limited",500408,"0.47","6990","39303","2024-07-12","09:56:28","IT - Software","2024-07-12 09:56:28.177845+05:30"
"7","SUPREMEIND","Supreme Industries Limited",509930,"1.43","5915","41964","2024-07-12","09:56:28","Plastic products","2024-07-12 09:56:28.177845+05:30"
"8","SKFINDIA","Skf India Limited",500472,"-0.32","5891.15","5097","2024-07-12","09:56:28","Bearings","2024-07-12 09:56:28.177845+05:30"
"9","NUVAMA","Nuvama Wealth Management Ltd",543988,"-0.67","4740","13234","2024-07-12","09:56:28","Stock/ Commodity Brokers","2024-07-12 09:56:28.177845+05:30"
"10","INGERRAND","Ingersoll Rand (india) Limited",500210,"0.15","4486","995","2024-07-12","09:56:28","Capital Goods-Non Electrical Equipment","2024-07-12 09:56:28.177845+05:30"
"11","GODFRYPHLP","Godfrey Phillips India Limited",500163,"1.98","4183.65","16817","2024-07-12","09:56:28","Tobacco Products","2024-07-12 09:56:28.177845+05:30"
"12","TIMKEN","Timken India Limited",522113,"2.12","4168","16166","2024-07-12","09:56:28","Bearings","2024-07-12 09:56:28.177845+05:30"
"13","SCHAEFFLER","Schaeffler India Ltd",505790,"-2.11","4056","28325","2024-07-12","09:56:28","Bearings","2024-07-12 09:56:28.177845+05:30"
"14","GARFIBRES","Garware Technical Fibres Ltd",509557,"0.21","3854.35","921","2024-07-12","09:56:28","Textiles","2024-07-12 09:56:28.177845+05:30"
"15","MCX","Multi Commodity Exchange Of India Limited",534091,"-0.02","3758.75","51492","2024-07-12","09:56:28","Financial Services","2024-07-12 09:56:28.177845+05:30"
"16","TITAN","Titan Company Limited",500114,"-0.07","3246.35","129548","2024-07-12","09:56:28","Diamond, Gems and Jewellery","2024-07-12 09:56:28.177845+05:30"
"17","ADANIENT","Adani Enterprises Limited",512599,"0.18","3083.85","104279","2024-07-12","09:56:28","Trading","2024-07-12 09:56:28.177845+05:30"
"18","M&M","Mahindra & Mahindra Limited",500520,"0.58","2713.65","614352","2024-07-12","09:56:28","Automobile","2024-07-12 09:56:28.177845+05:30"
"19","ROLEXRINGS","Rolex Rings Ltd",543325,"-0.25","2445","2243","2024-07-12","09:56:28","Castings, Forgings & Fastners","2024-07-12 09:56:28.177845+05:30"
"20","BSE","BSE (Bombay stock exchange)",20,"0.84","2352.05","115192","2024-07-12","09:56:28","Financial Services","2024-07-12 09:56:28.177845+05:30"
"21","ANGELONE","Angel One Ltd",0,"1.2","2237.7","114795","2024-07-12","09:56:28","Stock/ Commodity Brokers","2024-07-12 09:56:28.177845+05:30"
"22","HEG","Heg Limited",509631,"0.29","2129.15","11956","2024-07-12","09:56:28","Capital Goods-Non Electrical Equipment","2024-07-12 09:56:28.177845+05:30"
"23","RAYMOND","Raymond Limited",500330,"5","2101.35","104760","2024-07-12","09:56:28","Textiles","2024-07-12 09:56:28.177845+05:30"
"24","SMLISUZU","Sml Isuzu Limited",505192,"0.57","2052","1665","2024-07-12","09:56:28","Automobile","2024-07-12 09:56:28.177845+05:30"
"25","CYIENT","Cyient Limited",532175,"2.06","1809.95","274418","2024-07-12","09:56:28","IT - Software","2024-07-12 09:56:28.177845+05:30"
"26","AAVAS","AAVAS Financiers Ltd",541988,"0.51","1799","17953","2024-07-12","09:56:28","Finance","2024-07-12 09:56:28.177845+05:30"
"27","PRESTIGE","Prestige Estates Projects Limited",533274,"0.6","1778.3","167497","2024-07-12","09:56:28","Realty","2024-07-12 09:56:28.177845+05:30"
"28","AZAD","Azad Engineering Ltd",544061,"4.42","1772","366606","2024-07-12","09:56:28","Engineering","2024-07-12 09:56:28.177845+05:30"
"29","ADANIGREEN","Adani Green Energy Ltd",541450,"-0.09","1745.55","56516","2024-07-12","09:56:28","Power Generation & Distribution","2024-07-12 09:56:28.177845+05:30"
"30","OBEROIRLTY","Oberoi Realty Limited",533273,"0.13","1713.65","91836","2024-07-12","09:56:28","Realty","2024-07-12 09:56:28.177845+05:30"
"31","HGINFRA","H.G. Infra Engineering Ltd",541019,"0.58","1704.65","49899","2024-07-12","09:56:28","Infrastructure Developers & Operators","2024-07-12 09:56:28.177845+05:30"
"32","RADICO","Radico Khaitan Limited",532497,"0.45","1673.2","94353","2024-07-12","09:56:28","Alcoholic Beverages","2024-07-12 09:56:28.177845+05:30"
"33","JUBLINDS","Jubilant Industries Limited",533320,"5","1525.85","3197","2024-07-12","09:56:28","Chemicals","2024-07-12 09:56:28.177845+05:30"
"34","MACPOWER","Macpower CNC Machines Ltd",535057,"5","1433.05","14301","2024-07-12","09:56:28","Engineering","2024-07-12 09:56:28.177845+05:30"
"35","TEJASNET","Tejas Networks",540595,"3.18","1400","91002","2024-07-12","09:56:28","Telecomm Equipment & Infra Services","2024-07-12 09:56:28.177845+05:30"
"36","ELECON","Elecon Engineering Company Limited",505700,"0.61","1300.35","56283","2024-07-12","09:56:28","Capital Goods-Non Electrical Equipment","2024-07-12 09:56:28.177845+05:30"
"37","CREDITACC","CreditAccess Grameen Ltd",541770,"1.71","1296.5","156246","2024-07-12","09:56:28","Finance","2024-07-12 09:56:28.177845+05:30"
"38","SWELECTES","Swelect Energy Systems Limited",532051,"0.47","1196.55","5985","2024-07-12","09:56:28","Capital Goods - Electrical Equipment","2024-07-12 09:56:28.177845+05:30"
"39","SYMPHONY","Symphony Limited",517385,"0.24","1130.35","3417","2024-07-12","09:56:28","Consumer Durables","2024-07-12 09:56:28.177845+05:30"
"40","KSOLVES","Ksolves India Ltd",535356,"0.15","1118.55","4911","2024-07-12","09:56:28","IT - Software","2024-07-12 09:56:28.177845+05:30"
"41","BHARTIHEXA","Bharti Hexacom Ltd",544162,"2.34","1072.1","136822","2024-07-12","09:56:28","Telecomm-Service","2024-07-12 09:56:28.177845+05:30"
"42","TATACHEM","Tata Chemicals Limited",500770,"0.66","1066","136326","2024-07-12","09:56:28","Chemicals","2024-07-12 09:56:28.177845+05:30"
"43","JUSTDIAL","Just Dial Limited",535648,"2.56","1015.75","53231","2024-07-12","09:56:28","E-Commerce/App based Aggregator","2024-07-12 09:56:28.177845+05:30"
"44","JINDALSTEL","Jindal Steel & Power Limited",532286,"-0.05","1014","217385","2024-07-12","09:56:28","Steel","2024-07-12 09:56:28.177845+05:30"
"45","GENSOL","Gensol Engineering Ltd",542851,"0.58","992.7","16609","2024-07-12","09:56:28","Infrastructure Developers & Operators","2024-07-12 09:56:28.177845+05:30"
"46","TANLA","Tanla Solutions Limited",532790,"0.95","943.45","78022","2024-07-12","09:56:28","IT - Software","2024-07-12 09:56:28.177845+05:30"
"47","BFUTILITIE","Bf Utilities Limited",532430,"2.76","855","53785","2024-07-12","09:56:28","Power Generation & Distribution","2024-07-12 09:56:28.177845+05:30"
"48","ICEMAKE","ICE Make Refrigeration Ltd",535034,"0.64","827.95","2212","2024-07-12","09:56:28","Capital Goods - Electrical Equipment","2024-07-12 09:56:28.177845+05:30"
"49","JITFINFRA","JITF Infra Logistics Ltd",540311,"0.58","810.1","1804","2024-07-12","09:56:28","Miscellaneous","2024-07-12 09:56:28.177845+05:30"
"50","RAMCOCEM","The Ramco Cements Limited",500260,"0.38","799.85","31674","2024-07-12","09:56:28","Cement","2024-07-12 09:56:28.177845+05:30"
"51","CARYSIL","Carysil Ltd",524091,"0.6","787.2","15697","2024-07-12","09:56:28","Consumer Durables","2024-07-12 09:56:28.177845+05:30"
"52","GOACARBON","Goa Carbon Limited",509567,"2.15","778.05","15241","2024-07-12","09:56:28","Petrochemicals","2024-07-12 09:56:28.177845+05:30"
"53","ANURAS","Anupam Rasayan India Ltd",543275,"0.45","748.65","11543","2024-07-12","09:56:28","Chemicals","2024-07-12 09:56:28.177845+05:30"
"54","JUBLPHARMA","Jubilant Pharmova Ltd",530019,"0.4","727.3","6311","2024-07-12","09:56:28","Pharmaceuticals","2024-07-12 09:56:28.177845+05:30"
"55","REDTAPE","Redtape Ltd",543957,"-1.38","718.05","17913","2024-07-12","09:56:28","Retail","2024-07-12 09:56:28.177845+05:30"
"56","KKCL","Kewal Kiran Clothing Limited",532732,"0.36","684.1","2781","2024-07-12","09:56:28","Readymade Garments/ Apparells","2024-07-12 09:56:28.177845+05:30"
"57","MEDPLUS","Medplus Health Services Ltd",543427,"0.07","668.5","5857","2024-07-12","09:56:28","Retail","2024-07-12 09:56:28.177845+05:30"
