"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"1","PAGEIND","Page Industries Limited",532827,"-0.11","41007.2","747","2024-08-20","09:54:29","Readymade Garments/ Apparells","2024-08-20 09:54:29.802221+05:30"
"2","VENKEYS","Venky's (india) Limited",523261,"3.03","2361.95","28125","2024-08-20","09:54:29","Miscellaneous","2024-08-20 09:54:29.802221+05:30"
"3","LUXIND","Lux Industries Limited",539542,"1.1","2224","25733","2024-08-20","09:54:29","Textiles","2024-08-20 09:54:29.802221+05:30"
"4","GLAND","Gland Pharma Ltd",543245,"0.08","1962.55","27143","2024-08-20","09:54:29","Pharmaceuticals","2024-08-20 09:54:29.802221+05:30"
"5","PEL","Piramal Enterprises Limited",500302,"-0.03","983.25","327076","2024-08-20","09:54:29","Finance","2024-08-20 09:54:29.802221+05:30"
"6","JINDALPOLY","Jindal Poly Films Limited",500227,"0.86","898.65","44311","2024-08-20","09:54:29","Textiles","2024-08-20 09:54:29.802221+05:30"
"7","MATRIMONY","Matrimony.com Ltd",540704,"1.16","735","379786","2024-08-20","09:54:29","Miscellaneous","2024-08-20 09:54:29.802221+05:30"
"8","BOROLTD","Borosil Ltd",543212,"0.29","416","36995","2024-08-20","09:54:29","Glass & Glass Products","2024-08-20 09:54:29.802221+05:30"
"9","BAJAJHCARE","Bajaj Healthcare Ltd",539872,"-0.7","406","43198","2024-08-20","09:54:29","Pharmaceuticals","2024-08-20 09:54:29.802221+05:30"
"10","NAHARPOLY","Nahar Poly Films Limited",523391,"3.2","357.9","18684","2024-08-20","09:54:29","Packaging","2024-08-20 09:54:29.802221+05:30"
"11","RUPA","Rupa & Company Limited",533552,"3.97","331.1","539289","2024-08-20","09:54:29","Readymade Garments/ Apparells","2024-08-20 09:54:29.802221+05:30"
"12","VERANDA","Veranda Learning Solutions Ltd",543514,"1.82","299.9","115153","2024-08-20","09:54:29","Education","2024-08-20 09:54:29.802221+05:30"
"13","APEX","Apex Frozen Foods",540692,"-1.34","272.2","18440","2024-08-20","09:54:29","Miscellaneous","2024-08-20 09:54:29.802221+05:30"
"14","TVTODAY","Tv Today Network Limited",532515,"0.8","269.95","58510","2024-08-20","09:54:29","Media - Print/Television/Radio","2024-08-20 09:54:29.802221+05:30"
"15","ORIENTELEC","Orient Electric Ltd",541301,"-0.07","267.25","20991","2024-08-20","09:54:29","Consumer Durables","2024-08-20 09:54:29.802221+05:30"
"16","DTIL","Dhunseri Tea & Industries Limited",538902,"-0.87","249.89","3381","2024-08-20","09:54:29","Plantation & Plantation Products","2024-08-20 09:54:29.802221+05:30"
"17","ELIN","Elin Electronics Ltd",0,"-0.14","213.21","21245","2024-08-20","09:54:29","Consumer Durables","2024-08-20 09:54:29.802221+05:30"
"18","LYKALABS","Lyka Labs Limited",500259,"3.82","126.71","44131","2024-08-20","09:54:29","Pharmaceuticals","2024-08-20 09:54:29.802221+05:30"
"19","BROOKS","Brooks Laboratories Limited",533543,"0.74","110","17332","2024-08-20","09:54:29","Pharmaceuticals","2024-08-20 09:54:29.802221+05:30"
"20","AGSTRA","AGS Transact Technologies Ltd",543451,"0.19","90.97","42851","2024-08-20","09:54:29","IT - Hardware","2024-08-20 09:54:29.802221+05:30"
"21","ASIANTILES","Asian Granito India Limited",532888,"0.39","82.03","291402","2024-08-20","09:54:29","Ceramic Products","2024-08-20 09:54:29.802221+05:30"
"22","MGEL","Mangalam Global Enterprise Ltd",535349,"-0.56","24.65","6601","2024-08-20","09:54:29","Edible Oil","2024-08-20 09:54:29.802221+05:30"
"23","VINYLINDIA","Vinyl Chemicals (india) Limited",524129,"1.24","420","28969","2024-08-20","09:57:23","Trading","2024-08-20 09:57:23.924736+05:30"
"24","OAL","Oriental Aromatics Ltd",500078,"-0.7","549.9","66478","2024-08-20","10:09:11","Chemicals","2024-08-20 10:09:12.233098+05:30"
"25","PANACEABIO","Panacea Biotec Limited",531349,"0.89","182.95","527784","2024-08-20","10:42:14","Pharmaceuticals","2024-08-20 10:42:14.795034+05:30"
"26","IOLCP","Iol Chemicals And Pharmaceuticals Limited",524164,"4.84","420.55","247583","2024-08-20","10:49:21","Pharmaceuticals","2024-08-20 10:49:21.245321+05:30"
"27","AETHER","Aether Industries Ltd",543534,"1.16","917.4","20104","2024-08-20","11:23:24","Chemicals","2024-08-20 11:23:24.578559+05:30"
"28","AVTNPL","Avt Natural Products Limited",519105,"4.41","90","373756","2024-08-20","14:06:13","FMCG","2024-08-20 14:06:13.706283+05:30"
