"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"1","SOLARINDS","Solar Industries India Limited",532725,"0.18","12274.9","16099","2024-07-12","09:56:26","Aerospace & Defence","2024-07-12 09:56:26.400407+05:30"
"2","CERA","Cera Sanitaryware Limited",532443,"3.11","9200.6","29962","2024-07-12","09:56:26","Ceramic Products","2024-07-12 09:56:26.400407+05:30"
"3","BLUEDART","Blue Dart Express Limited",526612,"-1.11","8515.9","1954","2024-07-12","09:56:26","Logistics","2024-07-12 09:56:26.400407+05:30"
"4","BRITANNIA","Britannia Industries Limited",500825,"-0.42","5737.35","31526","2024-07-12","09:56:26","FMCG","2024-07-12 09:56:26.400407+05:30"
"5","AMBER","Amber Enterprises India Ltd",540902,"0.23","4561.85","13958","2024-07-12","09:56:26","Consumer Durables","2024-07-12 09:56:26.400407+05:30"
"6","ANANDRATHI","Anand Rathi Wealth Ltd",543415,"-0.66","4114","123066","2024-07-12","09:56:26","Finance","2024-07-12 09:56:26.400407+05:30"
"7","COLPAL","Colgate Palmolive (india) Limited",500830,"0.89","3033.5","40463","2024-07-12","09:56:26","FMCG","2024-07-12 09:56:26.400407+05:30"
"8","CDSL","Central Depository Services Ltd",0,"0.83","2462.75","580023","2024-07-12","09:56:26","Miscellaneous","2024-07-12 09:56:26.400407+05:30"
"9","JBMA","Jbm Auto Limited",532605,"0","2212.25","29064","2024-07-12","09:56:26","Auto Ancillaries","2024-07-12 09:56:26.400407+05:30"
"10","POLYMED","Poly Medicure Limited",531768,"-1.49","2118.45","6476","2024-07-12","09:56:26","Healthcare","2024-07-12 09:56:26.400407+05:30"
"11","BLUESTARCO","Blue Star Limited",500067,"-1.18","1738.1","37737","2024-07-12","09:56:26","Consumer Durables","2024-07-12 09:56:26.400407+05:30"
"12","CAPLIPOINT","Caplin Point Laboratories Limited",524742,"0.34","1522.2","20829","2024-07-12","09:56:26","Pharmaceuticals","2024-07-12 09:56:26.400407+05:30"
"13","GESHIP","The Great Eastern Shipping Company Limited",500620,"1.95","1482.35","2148526","2024-07-12","09:56:26","Shipping","2024-07-12 09:56:26.400407+05:30"
"14","AFFLE","Affle India Ltd",542752,"1.55","1432.2","350072","2024-07-12","09:56:26","IT - Software","2024-07-12 09:56:26.400407+05:30"
"15","GPIL","Godawari Power And Ispat Limited",532734,"-0.13","1141.6","22668","2024-07-12","09:56:26","Steel","2024-07-12 09:56:26.400407+05:30"
"16","UTIAMC","UTI Asset Management Company Ltd",543238,"0.04","1049.35","35612","2024-07-12","09:56:26","Finance","2024-07-12 09:56:26.400407+05:30"
"17","FIVESTAR","Five Star Business Finance Ltd",0,"-0.75","817.65","45032","2024-07-12","09:56:26","Finance","2024-07-12 09:56:26.400407+05:30"
"18","VIJAYA","Vijaya Diagnostic Centre Ltd",543350,"0.38","798.15","86201","2024-07-12","09:56:26","Healthcare","2024-07-12 09:56:26.400407+05:30"
"19","EMAMILTD","Emami Limited",531162,"-0.35","762.5","59392","2024-07-12","09:56:26","FMCG","2024-07-12 09:56:26.400407+05:30"
"20","SYNGENE","Syngene International Limited",539268,"0.32","738.3","188547","2024-07-12","09:56:26","Pharmaceuticals","2024-07-12 09:56:26.400407+05:30"
