"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"1","CERA","Cera Sanitaryware Limited",532443,"3.11","9200.6","29962","2024-07-12","09:56:25","Ceramic Products","2024-07-21 11:34:39.565323+05:30"
"2","NAUKRI","Info Edge (india) Limited",532777,"3.93","6874.1","209291","2024-07-12","09:56:25","E-Commerce/App based Aggregator","2024-07-21 11:34:39.565323+05:30"
"3","AFFLE","Affle India Ltd",542752,"1.55","1432.2","350072","2024-07-12","09:56:25","IT - Software","2024-07-21 11:34:39.565323+05:30"
"4","FACT","Fertilizers And Chemicals Travancore Limited",590024,"5.92","1111.55","841900","2024-07-12","09:56:25","Fertilizers","2024-07-21 11:34:39.565323+05:30"
"5","RAILTEL","Railtel Corporation of India Ltd",543265,"7.06","556.85","7021571","2024-07-12","09:56:25","Telecomm-Service","2024-07-21 11:34:39.565323+05:30"
"6","TRIVENI","Triveni Engineering & Industries Limited",532356,"0.92","418.75","811124","2024-07-12","09:56:25","Sugar","2024-07-21 11:34:39.565323+05:30"
"7","IRCON","Ircon International Ltd",541956,"7.47","343.8","20985449","2024-07-12","09:56:25","Infrastructure Developers & Operators","2024-07-21 11:34:39.565323+05:30"
"8","PCBL","PCBL Ltd",506590,"3.4","283.1","2511531","2024-07-12","09:56:25","Chemicals","2024-07-21 11:34:39.565323+05:30"
"9","RCF","Rashtriya Chemicals And Fertilizers Limited",524230,"6.59","237.17","18322361","2024-07-12","09:56:25","Fertilizers","2024-07-21 11:34:39.565323+05:30"
"10","SJVN","Sjvn Limited",533206,"2.78","154.11","36083744","2024-07-12","09:56:25","Power Generation & Distribution","2024-07-21 11:34:39.565323+05:30"
"11","ANANDRATHI","Anand Rathi Wealth Ltd",543415,"0.13","4146.8","126515","2024-07-12","09:58:32","Finance","2024-07-21 11:34:39.565323+05:30"
"12","MMTC","Mmtc Limited",513377,"5.4","90.45","6857568","2024-07-12","09:59:22","Trading","2024-07-21 11:34:39.565323+05:30"
"13","INDIAMART","Indiamart Intermesh Ltd",542726,"2.39","2827.25","96096","2024-07-12","10:07:20","E-Commerce/App based Aggregator","2024-07-21 11:34:39.565323+05:30"
"14","INOXWIND","Inox Wind Limited",539083,"9.31","172.82","15173834","2024-07-12","10:10:17","Capital Goods - Electrical Equipment","2024-07-21 11:34:39.565323+05:30"
"15","ENGINERSIN","Engineers India Limited",532178,"3.98","301.8","11899834","2024-07-12","10:14:34","Infrastructure Developers & Operators","2024-07-21 11:34:39.565323+05:30"
"16","RITES","Rites Ltd",541556,"5.64","762.8","2692773","2024-07-12","10:25:29","Infrastructure Developers & Operators","2024-07-21 11:34:39.565323+05:30"
"17","SUNTECK","Sunteck Realty Limited",512179,"3.31","590.25","333172","2024-07-12","10:28:23","Realty","2024-07-21 11:34:39.565323+05:30"
"18","KRBL","Krbl Limited",530813,"4.36","334.15","1280125","2024-07-12","10:33:24","FMCG","2024-07-21 11:34:39.565323+05:30"
"19","COLPAL","Colgate Palmolive (india) Limited",500830,"1.5","3052.05","80721","2024-07-12","10:34:14","FMCG","2024-07-21 11:34:39.565323+05:30"
"20","IRFC","Indian Railway Finance Corporation Ltd",543257,"4.03","214.28","78868337","2024-07-12","10:36:19","Finance","2024-07-21 11:34:39.565323+05:30"
"21","FSL","Firstsource Solutions Limited",532809,"4.3","250.5","1956793","2024-07-12","10:39:12","IT - Software","2024-07-21 11:34:39.565323+05:30"
