nsecode,per_chg,close,date,igroup_name
KAYNES,8.81,4677.7,2024-08-13,Consumer Durables
LALPATHLAB,0.4,3239.95,2024-08-13,Healthcare
AJANTPHARM,3.67,3180.0,2024-08-13,Pharmaceuticals
TRITURBINE,11.53,781.4,2024-08-13,Capital Goods - Electrical Equipment
CENTURYPLY,0.99,730.6,2024-08-13,Plywood Boards/Laminates
VGUARD,3.53,521.0,2024-08-13,Others
BALRAMCHIN,3.56,512.8,2024-08-13,Sugar
GPPL,4.0,239.23,2024-08-13,Marine Port & Services
INOXWIND,3.04,214.9,2024-08-13,Capital Goods - Electrical Equipment
FEDERALBNK,0.43,202.11,2024-08-13,Banks
