nsecode,per_chg,close,date,igroup_name
ABB,-1.81,7536.0,2024-08-13,Capital Goods - Electrical Equipment
BAJFINANCE,-2.06,6472.05,2024-08-13,Finance
POLYCAB,-2.78,6402.4,2024-08-13,Cables
TCS,-0.1,4191.45,2024-08-13,IT - Software
JKCEMENT,-1.77,4161.75,2024-08-13,Cement
LT,-0.58,3551.25,2024-08-13,Infrastructure Developers & Operators
NAVINFLUOR,-5.21,3286.4,2024-08-13,Chemicals
PIDILITIND,-0.14,3047.5,2024-08-13,Chemicals
SHRIRAMFIN,-2.52,2901.25,2024-08-13,Finance
DEEPAKNTR,-5.49,2850.1,2024-08-13,Chemicals
INDIAMART,-2.27,2694.8,2024-08-13,E-Commerce/App based Aggregator
GRASIM,-2.12,2516.6,2024-08-13,Textiles
METROPOLIS,-1.51,2007.85,2024-08-13,Healthcare
ICICIGI,-0.26,1946.35,2024-08-13,Insurance
TATACOMM,-2.15,1846.1,2024-08-13,Telecomm-Service
MGL,-2.12,1788.1,2024-08-13,Gas Distribution
KOTAKBANK,-1.11,1752.95,2024-08-13,Banks
OBEROIRLTY,-3.88,1743.85,2024-08-13,Realty
DALBHARAT,-0.52,1735.9,2024-08-13,Cement
SBILIFE,-1.25,1683.75,2024-08-13,Insurance
HDFCBANK,-3.39,1603.75,2024-08-13,Banks
BHARATFORG,-0.6,1583.95,2024-08-13,"Castings, Forgings & Fastners"
BAJAJFINSV,-1.03,1542.9,2024-08-13,Finance
ADANIPORTS,-1.4,1480.4,2024-08-13,Marine Port & Services
UNITDSPR,-0.95,1404.6,2024-08-13,Alcoholic Beverages
GODREJCP,-0.34,1387.85,2024-08-13,FMCG
CHOLAFIN,-2.67,1312.75,2024-08-13,Finance
ZYDUSLIFE,-5.85,1177.25,2024-08-13,Pharmaceuticals
TATAMOTORS,-1.96,1055.1,2024-08-13,Automobile
MFSL,-2.56,1049.25,2024-08-13,Finance
TATACHEM,-2.13,1026.05,2024-08-13,Chemicals
DLF,-2.74,812.6,2024-08-13,Realty
SBIN,-2.09,795.6,2024-08-13,Banks
RAMCOCEM,-1.58,788.6,2024-08-13,Cement
SBICARD,-1.18,691.7,2024-08-13,Finance
GNFC,-1.9,657.0,2024-08-13,Chemicals
AARTIIND,-15.42,621.35,2024-08-13,Chemicals
INDHOTEL,-1.09,610.45,2024-08-13,Hotels & Restaurants
DABUR,-2.23,606.5,2024-08-13,FMCG
GUJGASLTD,-3.74,595.75,2024-08-13,Gas Distribution
RECLTD,-1.54,569.9,2024-08-13,Finance
COALINDIA,-0.54,521.1,2024-08-13,Mining & Mineral products
CHAMBLFERT,-7.33,488.6,2024-08-13,Fertilizers
PFC,-2.68,483.35,2024-08-13,Finance
VEDL,-2.35,421.95,2024-08-13,Mining & Mineral products
LAURUSLABS,-1.44,420.05,2024-08-13,Pharmaceuticals
TATAPOWER,-2.33,408.4,2024-08-13,Power Generation & Distribution
INDUSTOWER,-2.74,404.5,2024-08-13,Telecomm Equipment & Infra Services
NTPC,-1.35,395.45,2024-08-13,Power Generation & Distribution
HINDPETRO,-2.07,371.85,2024-08-13,Refineries
POWERGRID,-1.32,336.65,2024-08-13,Power Generation & Distribution
BPCL,-3.54,321.6,2024-08-13,Refineries
ABFRL,-3.25,311.35,2024-08-13,Retail
BEL,-1.74,296.15,2024-08-13,Aerospace & Defence
M&MFIN,-3.0,289.8,2024-08-13,Finance
BHEL,-3.01,289.7,2024-08-13,Capital Goods - Electrical Equipment
ABCAPITAL,-2.26,207.79,2024-08-13,Finance
BANDHANBNK,-2.55,192.03,2024-08-13,Banks
IEX,-3.59,187.45,2024-08-13,Financial Services
MOTHERSON,-3.38,181.85,2024-08-13,Auto Ancillaries
NATIONALUM,-2.77,169.38,2024-08-13,Non Ferrous Metals
IOC,-3.01,164.07,2024-08-13,Refineries
LTF,-3.33,162.43,2024-08-13,Finance
TATASTEEL,-2.18,148.75,2024-08-13,Steel
GMRINFRA,-3.41,94.68,2024-08-13,Infrastructure Developers & Operators
IDFCFIRSTB,-0.64,71.33,2024-08-13,Banks
IDEA,-3.25,15.49,2024-08-13,Telecomm-Service
