nsecode,per_chg,close,date,igroup_name
KAYNES,8.81,4677.7,2024-08-13,Consumer Durables
AJANTPHARM,3.67,3180.0,2024-08-13,Pharmaceuticals
GLS,-1.73,981.35,2024-08-13,Pharmaceuticals
NELCO,-0.65,895.05,2024-08-13,Telecomm Equipment & Infra Services
TRITURBINE,11.53,781.4,2024-08-13,Capital Goods - Electrical Equipment
JYOTHYLAB,-2.26,548.35,2024-08-13,FMCG
SUMICHEM,-2.09,525.9,2024-08-13,Agro Chemicals
GOLDIAM,20.0,241.11,2024-08-13,"Diamond, Gems and Jewellery"
GPPL,4.0,239.23,2024-08-13,Marine Port & Services
CONSOFINVT,2.94,205.0,2024-08-13,Finance
