nsecode,per_chg,close,date,igroup_name
VSTTILLERS,1.14,3802.0,2024-08-20,Automobile
NAVINFLUOR,0.35,3292.7,2024-08-20,Chemicals
BALKRISIND,1.68,2849.5,2024-08-20,Tyres
HIL,2.42,2776.0,2024-08-20,Cement - Products
NGLFINE,1.86,2460.0,2024-08-20,Pharmaceuticals
ZYDUSWELL,2.52,2263.8,2024-08-20,FMCG
TEGA,2.57,1722.55,2024-08-20,Engineering
SUNCLAY,0.14,1697.85,2024-08-20,Auto Ancillaries
MACPOWER,1.22,1472.0,2024-08-20,Engineering
GMMPFAUDLR,0.75,1310.0,2024-08-20,Capital Goods-Non Electrical Equipment
APLLTD,0.94,1081.0,2024-08-20,Pharmaceuticals
MFSL,2.66,1017.85,2024-08-20,Finance
FACT,1.33,938.8,2024-08-20,Fertilizers
AARTIIND,0.82,622.55,2024-08-20,Chemicals
STANLEY,0.87,530.8,2024-08-20,Miscellaneous
KAYA,2.59,504.0,2024-08-20,Healthcare
CHEMPLASTS,0.57,499.4,2024-08-20,Chemicals
APOLLOTYRE,3.23,498.6,2024-08-20,Tyres
GEPIL,4.85,455.0,2024-08-20,Infrastructure Developers & Operators
IZMO,4.5,433.05,2024-08-20,IT - Software
EIHAHOTELS,4.05,429.55,2024-08-20,Hotels & Restaurants
CAMPUS,0.42,284.95,2024-08-20,Leather
OCCL,3.63,283.0,2024-08-20,Chemicals
CANTABIL,1.88,266.05,2024-08-20,Textiles
ASIANHOTNR,2.03,178.14,2024-08-20,Hotels & Restaurants
RATNAVEER,0.68,174.95,2024-08-20,Steel
INTENTECH,0.32,144.1,2024-08-20,IT - Software
SIMPLEXINF,1.62,137.0,2024-08-20,Construction
SARLAPOLY,3.96,96.6,2024-08-20,Textiles
JMFINANCIL,3.17,95.27,2024-08-20,Finance
HINDMOTORS,5.0,32.58,2024-08-20,Automobile
INDOWIND,0.36,27.89,2024-08-20,Power Generation & Distribution
