nsecode,per_chg,close,date,igroup_name
GODFRYPHLP,-3.54,5638.45,2024-08-21,Tobacco Products
DIVISLAB,2.77,4854.0,2024-08-21,Pharmaceuticals
SHRIRAMFIN,-0.64,3139.75,2024-08-21,Finance
ECLERX,-0.77,2667.95,2024-08-21,IT - Software
BBTC,-0.85,2489.6,2024-08-21,Auto Ancillaries
TORNTPOWER,-0.63,1786.0,2024-08-21,Power Generation & Distribution
SBILIFE,0.13,1763.55,2024-08-21,Insurance
CAPLIPOINT,-1.91,1744.05,2024-08-21,Pharmaceuticals
DCMSHRIRAM,1.7,1175.0,2024-08-21,Diversified
VIJAYA,2.24,909.2,2024-08-21,Healthcare
JUBLPHARMA,-0.5,892.3,2024-08-21,Pharmaceuticals
SHYAMMETL,-1.33,752.2,2024-08-21,Steel
BALRAMCHIN,-2.73,555.25,2024-08-21,Sugar
FSL,1.42,325.65,2024-08-21,IT - Software
