nsecode,per_chg,close,date,sector,count,frequency
NEULANDLAB,-4.12,8129.9,2024-07-20,Pharmaceuticals,1,2
GILLETTE,-3.64,7683.9,2024-07-20,FMCG,3,2
ESABINDIA,-2.24,6486.15,2024-07-20,Capital Goods-Non Electrical Equipment,2,1
LTIM,0.1,5762.75,2024-07-20,IT - Software,2,8
TCS,-0.3,4302.4,2024-07-20,IT - Software,1,8
AIAENG,1.09,4272.7,2024-07-20,"Castings, Forgings & Fastners",1,1
MPHASIS,1.42,2873.55,2024-07-20,IT - Software,1,8
HINDUNILVR,-0.42,2727.0,2024-07-20,FMCG,3,2
RPGLIFE,-0.97,1794.4,2024-07-20,Pharmaceuticals,4,2
E2E,5.0,1776.7,2024-07-20,IT - Software,1,8
HGINFRA,-2.84,1691.85,2024-07-20,Infrastructure Developers & Operators,3,1
NUCLEUS,1.04,1493.45,2024-07-20,IT - Software,1,8
PIXTRANS,-1.96,1492.9,2024-07-20,Plantation & Plantation Products,1,1
ZENTEC,-1.1,1377.3,2024-07-20,Aerospace & Defence,1,1
KSOLVES,1.29,1208.4,2024-07-20,IT - Software,1,8
TANLA,-2.31,970.1,2024-07-20,IT - Software,4,8
ABSLAMC,-4.16,676.4,2024-07-20,Finance,3,1
MARICO,-2.37,668.65,2024-07-20,Edible Oil,2,1
ITC,0.91,474.55,2024-07-20,Tobacco Products,1,1
CYBERTECH,-3.8,193.1,2024-07-20,IT - Software,3,8
GEOJITFSL,-4.21,111.55,2024-07-20,Stock/ Commodity Brokers,4,1
