nsecode,per_chg,close,date,sector,count,frequency
SHREECEM,0.6,24350.0,2024-08-14,Cement,7,2
MARUTI,0.24,12205.65,2024-08-14,Automobile,4,1
SOLARINDS,0.98,10162.55,2024-08-14,Aerospace & Defence,3,1
BAJAJHLDNG,3.14,9436.0,2024-08-14,Finance,4,3
ESABINDIA,0.21,6157.0,2024-08-14,Capital Goods-Non Electrical Equipment,2,2
POWERMECH,4.77,5670.2,2024-08-14,Infrastructure Developers & Operators,4,3
LTIM,0.79,5427.55,2024-08-14,IT - Software,3,4
GRPLTD,5.0,4135.25,2024-08-14,Plantation & Plantation Products,2,1
THEJO,7.26,2855.0,2024-08-14,Engineering,6,1
CARBORUNIV,0.45,1551.55,2024-08-14,Capital Goods-Non Electrical Equipment,7,2
SEAMECLTD,2.41,1480.6,2024-08-14,Shipping,1,1
PRIVISCL,3.05,1478.95,2024-08-14,Chemicals,3,1
SUNDRMFAST,1.2,1363.75,2024-08-14,Auto Ancillaries,4,1
CHOLAFIN,2.21,1344.0,2024-08-14,Finance,9,3
JLHL,4.62,1335.75,2024-08-14,Healthcare,1,1
METROBRAND,4.08,1321.5,2024-08-14,Leather,1,1
BIRLACORPN,2.14,1257.8,2024-08-14,Cement,9,2
GANDHITUBE,0.71,790.0,2024-08-14,Steel,2,1
EMUDHRA,5.02,777.05,2024-08-14,IT - Software,8,4
SONATSOFTW,3.3,603.05,2024-08-14,IT - Software,3,4
LINC,2.01,595.0,2024-08-14,Printing & Stationery,3,1
PFC,0.41,484.65,2024-08-14,Finance,6,3
FDC,1.22,475.3,2024-08-14,Pharmaceuticals,1,1
NIITMTS,1.16,457.9,2024-08-14,IT - Software,1,4
EXICOM,1.02,399.65,2024-08-14,Capital Goods - Electrical Equipment,3,1
LIKHITHA,1.7,385.05,2024-08-14,Infrastructure Developers & Operators,10,3
JINDWORLD,2.61,347.5,2024-08-14,Textiles,2,2
PYRAMID,1.6,173.95,2024-08-14,Packaging,2,1
PDMJEPAPER,2.77,109.2,2024-08-14,Paper,5,1
MAHABANK,0.7,60.55,2024-08-14,Banks,6,1
NDL,4.6,48.94,2024-08-14,Textiles,3,2
COFFEEDAY,5.0,36.75,2024-08-14,Quick Service Restaurant,2,1
A2ZINFRA,3.63,18.0,2024-08-14,Infrastructure Developers & Operators,3,3
