nsecode,per_chg,close,date,sector,count,frequency
GODFRYPHLP,-3.54,5638.45,2024-08-21,Tobacco Products,4,1
DIVISLAB,2.77,4854.0,2024-08-21,Pharmaceuticals,4,3
SHRIRAMFIN,-0.64,3139.75,2024-08-21,Finance,1,1
ECLERX,-0.77,2667.95,2024-08-21,IT - Software,3,2
BBTC,-0.85,2489.6,2024-08-21,Auto Ancillaries,4,1
TORNTPOWER,-0.63,1786.0,2024-08-21,Power Generation & Distribution,7,1
SBILIFE,0.13,1763.55,2024-08-21,Insurance,8,1
CAPLIPOINT,-1.91,1744.05,2024-08-21,Pharmaceuticals,5,3
DCMSHRIRAM,1.7,1175.0,2024-08-21,Diversified,7,1
VIJAYA,2.24,909.2,2024-08-21,Healthcare,6,1
JUBLPHARMA,-0.5,892.3,2024-08-21,Pharmaceuticals,2,3
SHYAMMETL,-1.33,752.2,2024-08-21,Steel,5,1
BALRAMCHIN,-2.73,555.25,2024-08-21,Sugar,14,1
FSL,1.42,325.65,2024-08-21,IT - Software,12,2
