nsecode,per_chg,close,date,sector,count,frequency
PAGEIND,-0.2,40969.1,2024-08-20,Readymade Garments/ Apparells,1,2
VENKEYS,1.11,2318.05,2024-08-20,Miscellaneous,1,3
LUXIND,0.66,2214.4,2024-08-20,Textiles,1,2
GLAND,-1.31,1935.3,2024-08-20,Pharmaceuticals,1,6
PEL,0.77,991.1,2024-08-20,Finance,1,1
JINDALPOLY,-0.33,888.0,2024-08-20,Textiles,1,2
MATRIMONY,-1.47,715.95,2024-08-20,Miscellaneous,1,3
IOLCP,10.35,442.65,2024-08-20,Pharmaceuticals,1,6
BOROLTD,0.53,417.0,2024-08-20,Glass & Glass Products,1,1
BAJAJHCARE,-1.24,403.8,2024-08-20,Pharmaceuticals,1,6
NAHARPOLY,-0.48,345.15,2024-08-20,Packaging,1,1
RUPA,6.39,338.8,2024-08-20,Readymade Garments/ Apparells,1,2
VERANDA,-1.38,290.5,2024-08-20,Education,1,1
TVTODAY,1.79,272.6,2024-08-20,Media - Print/Television/Radio,1,1
APEX,-1.99,270.4,2024-08-20,Miscellaneous,1,3
ORIENTELEC,-0.82,265.25,2024-08-20,Consumer Durables,1,2
DTIL,0.5,253.36,2024-08-20,Plantation & Plantation Products,1,1
ELIN,-0.2,213.09,2024-08-20,Consumer Durables,1,2
PANACEABIO,6.14,192.47,2024-08-20,Pharmaceuticals,1,6
LYKALABS,5.31,128.53,2024-08-20,Pharmaceuticals,1,6
BROOKS,-0.58,108.56,2024-08-20,Pharmaceuticals,1,6
AVTNPL,8.38,93.42,2024-08-20,FMCG,1,1
AGSTRA,1.1,91.8,2024-08-20,IT - Hardware,1,1
ASIANTILES,7.7,88.0,2024-08-20,Ceramic Products,1,1
MGEL,0.85,25.0,2024-08-20,Edible Oil,1,1
