nsecode,per_chg,close,date,sector,count,frequency,Piotrski
KAYNES,8.81,4677.7,2024-08-13,Consumer Durables,2,1,4
LALPATHLAB,0.4,3239.95,2024-08-13,Healthcare,3,1,8
AJANTPHARM,3.67,3180.0,2024-08-13,Pharmaceuticals,6,1,8
TRITURBINE,11.53,781.4,2024-08-13,Capital Goods - Electrical Equipment,4,2,9
CENTURYPLY,0.99,730.6,2024-08-13,Plywood Boards/Laminates,2,1,3
VGUARD,3.53,521.0,2024-08-13,Others,5,1,7
BALRAMCHIN,3.56,512.8,2024-08-13,Sugar,6,1,8
GPPL,4.0,239.23,2024-08-13,Marine Port & Services,5,1,8
INOXWIND,3.04,214.9,2024-08-13,Capital Goods - Electrical Equipment,5,2,4
FEDERALBNK,0.43,202.11,2024-08-13,Banks,4,1,6
