nsecode,per_chg,close,date,sector,count,frequency,Piotrski
KAYNES,8.81,4677.7,2024-08-13,Consumer Durables,9,1,4
AJANTPHARM,3.67,3180.0,2024-08-13,Pharmaceuticals,11,2,8
GLS,-1.73,981.35,2024-08-13,Pharmaceuticals,11,2,6
NELCO,-0.65,895.05,2024-08-13,Telecomm Equipment & Infra Services,1,1,7
TRITURBINE,11.53,781.4,2024-08-13,Capital Goods - Electrical Equipment,5,1,9
JYOTHYLAB,-2.26,548.35,2024-08-13,FMCG,5,1,9
SUMICHEM,-2.09,525.9,2024-08-13,Agro Chemicals,6,1,6
GOLDIAM,20.0,241.11,2024-08-13,"Diamond, Gems and Jewellery",8,1,7
GPPL,4.0,239.23,2024-08-13,Marine Port & Services,2,1,8
CONSOFINVT,2.94,205.0,2024-08-13,Finance,5,1,5
