nsecode,per_chg,close,date,sector,count,frequency,Piotrski
PTCIL,0.53,13640.0,2024-08-21,"Castings, Forgings & Fastners",3,1,6
BAYERCROP,1.27,6304.25,2024-08-21,Agro Chemicals,5,1,9
HIL,0.83,2795.0,2024-08-21,Cement - Products,5,1,3
COCHINSHIP,4.44,2166.45,2024-08-21,Aerospace & Defence,5,2,6
GRSE,3.88,1845.0,2024-08-21,Aerospace & Defence,10,2,7
INDOTECH,1.82,1814.0,2024-08-21,Capital Goods - Electrical Equipment,4,1,8
SUNCLAY,0.16,1705.9,2024-08-21,Auto Ancillaries,3,2,2
GODREJCP,0.53,1401.35,2024-08-21,FMCG,3,1,4
NH,1.95,1203.4,2024-08-21,Healthcare,6,2,6
APLLTD,1.17,1096.45,2024-08-21,Pharmaceuticals,3,1,9
MFSL,0.64,1024.95,2024-08-21,Finance,2,2,6
GANDHITUBE,0.58,782.0,2024-08-21,Steel,5,3,7
AARTIIND,0.78,626.25,2024-08-21,Chemicals,7,2,6
ROTO,0.63,573.05,2024-08-21,Capital Goods-Non Electrical Equipment,8,1,5
LUMAXTECH,1.66,533.45,2024-08-21,Auto Ancillaries,6,2,8
SANDUMA,0.02,516.75,2024-08-21,Mining & Mineral products,7,1,5
KAYA,1.07,510.95,2024-08-21,Healthcare,5,2,4
AADHARHFC,0.68,393.85,2024-08-21,Finance,6,2,6
DEEDEV,1.39,353.35,2024-08-21,Steel,1,3,6
SEJALLTD,1.45,321.0,2024-08-21,Glass & Glass Products,5,1,4
PLASTIBLEN,1.59,297.05,2024-08-21,Chemicals,4,2,9
COASTCORP,0.95,270.0,2024-08-21,Miscellaneous,2,2,4
CANTABIL,0.89,266.95,2024-08-21,Textiles,3,3,5
SUNFLAG,1.14,222.2,2024-08-21,Steel,10,3,6
KAMATHOTEL,1.58,204.69,2024-08-21,Hotels & Restaurants,4,1,5
WSI,2.38,152.92,2024-08-21,Infrastructure Developers & Operators,5,1,7
SIMPLEXINF,5.0,140.35,2024-08-21,Construction,4,1,3
SARLAPOLY,2.66,97.0,2024-08-21,Textiles,7,3,7
SCILAL,1.81,89.42,2024-08-21,Miscellaneous,6,2,4
NDL,0.47,47.26,2024-08-21,Textiles,4,3,9
DPSCLTD,0.78,19.38,2024-08-21,Power Generation & Distribution,5,1,9
