nsecode,per_chg,close,date,sector,count,frequency
LTIM,0.1,5762.75,2024-07-20,IT - Software,2,4
TCS,-0.3,4302.4,2024-07-20,IT - Software,1,4
SBILIFE,-0.73,1647.7,2024-07-20,Insurance,4,1
HCLTECH,0.0,1594.55,2024-07-20,IT - Software,4,4
TORNTPOWER,-1.05,1526.5,2024-07-20,Power Generation & Distribution,1,1
AUROPHARMA,-0.42,1330.8,2024-07-20,Pharmaceuticals,5,2
NATCOPHARM,-2.94,1223.35,2024-07-20,Pharmaceuticals,4,2
TATACONSUM,-0.45,1188.0,2024-07-20,Plantation & Plantation Products,1,1
TANLA,-2.31,970.1,2024-07-20,IT - Software,2,4
MARICO,-2.37,668.65,2024-07-20,Edible Oil,2,1
SUNTECK,-2.47,600.55,2024-07-20,Realty,3,1
HBLPOWER,-4.93,590.05,2024-07-20,Auto Ancillaries,5,1
INDIACEM,0.67,347.05,2024-07-20,Cement,4,1
IDBI,-3.62,88.86,2024-07-20,Banks,2,2
IOB,-4.45,64.48,2024-07-20,Banks,1,2
